Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1731101074.884798,4258,6,1
1,NewOrder,1731101074.888804,6052,20,1
1,NewOrder,1731101074.892793,6956,17,1
2,Payment,1731101074.896799,3557,11,1
1,NewOrder,1731101074.900816,9177,31,1
1,NewOrder,1731101074.904823,10161,14,1
2,Payment,1731101074.908810,4085,16,1
1,NewOrder,1731101074.912809,7395,21,1
1,NewOrder,1731101074.916802,9006,24,1
2,Payment,1731101074.920812,4384,13,1
1,NewOrder,1731101074.924818,8383,22,1
1,NewOrder,1731101074.928809,8094,12,1
3,OrderStatus,1731101074.932831,1866,30,1
2,Payment,1731101074.936811,3162,19,1
1,NewOrder,1731101074.940810,6167,4,1
2,Payment,1731101074.944799,3081,29,1
2,Payment,1731101074.948829,3712,28,1
1,NewOrder,1731101074.952813,6389,9,1
3,OrderStatus,1731101074.956862,2379,10,1
2,Payment,1731101074.960814,3431,23,1
1,NewOrder,1731101074.964810,7302,8,1
2,Payment,1731101074.968813,4487,26,1
2,Payment,1731101074.972812,5819,0,1
2,Payment,1731101074.976847,5879,3,1
1,NewOrder,1731101074.980838,6974,25,1
1,NewOrder,1731101074.984825,11602,27,1
2,Payment,1731101074.988813,3166,1,1
2,Payment,1731101074.992823,4532,2,1
2,Payment,1731101074.996812,3812,7,1
1,NewOrder,1731101075.000805,5049,18,1
2,Payment,1731101075.004793,3753,5,1
2,Payment,1731101075.008785,2482,15,1
1,NewOrder,1731101075.012787,7433,6,1
2,Payment,1731101075.016803,4547,20,1
1,NewOrder,1731101075.020795,5296,17,1
1,NewOrder,1731101075.024797,5432,11,1
1,NewOrder,1731101075.028799,4489,31,1
1,NewOrder,1731101075.032811,8924,16,1
1,NewOrder,1731101075.036825,5573,14,1
2,Payment,1731101075.040806,3148,21,1
1,NewOrder,1731101075.044779,6035,13,1
2,Payment,1731101075.048802,3262,24,1
5,StockLevel,1731101075.052788,4430,22,1
3,OrderStatus,1731101075.056789,1620,30,1
2,Payment,1731101075.060792,2951,12,1
1,NewOrder,1731101075.064783,4086,19,1
2,Payment,1731101075.068797,3372,4,1
2,Payment,1731101075.072797,2717,29,1
1,NewOrder,1731101075.076797,11927,28,1
2,Payment,1731101075.080795,3235,9,1
1,NewOrder,1731101075.084802,4564,10,1
1,NewOrder,1731101075.088828,9141,23,1
1,NewOrder,1731101075.092807,6534,8,1
1,NewOrder,1731101075.096820,8320,26,1
