Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1731100641.227434,18231,5,1
1,NewOrder,1731100641.228432,8992,13,1
1,NewOrder,1731100641.229433,16661,16,1
2,Payment,1731100641.230431,14351,11,1
3,OrderStatus,1731100641.231429,2655,26,1
2,Payment,1731100641.232436,15794,8,1
1,NewOrder,1731100641.233437,11585,1,1
1,NewOrder,1731100641.234472,13400,19,1
2,Payment,1731100641.235444,12396,22,1
1,NewOrder,1731100641.236435,8687,4,1
3,OrderStatus,1731100641.237704,5906,24,1
1,NewOrder,1731100641.238440,7183,30,1
2,Payment,1731100641.239434,21337,20,1
2,Payment,1731100641.240436,11647,12,1
2,Payment,1731100641.241440,19217,7,1
3,OrderStatus,1731100641.242433,3624,21,1
1,NewOrder,1731100641.243468,9248,17,1
1,NewOrder,1731100641.244431,9020,3,1
1,NewOrder,1731100641.245436,15468,2,1
2,Payment,1731100641.246436,10261,10,1
4,Delivery,1731100641.247438,48388,28,1
5,StockLevel,1731100641.248436,4908,14,1
1,NewOrder,1731100641.249438,10416,9,1
1,NewOrder,1731100641.250473,6451,27,1
2,Payment,1731100641.251454,8983,6,1
1,NewOrder,1731100641.252677,12477,26,1
1,NewOrder,1731100641.253434,13694,15,1
2,Payment,1731100641.254436,20286,23,1
1,NewOrder,1731100641.255440,11947,13,1
1,NewOrder,1731100641.256452,3930,29,1
2,Payment,1731100641.257433,17773,25,1
2,Payment,1731100641.258432,14339,0,1
1,NewOrder,1731100641.259433,7413,18,1
2,Payment,1731100641.260440,5425,6,1
2,Payment,1731100641.261545,18608,11,1
1,NewOrder,1731100641.262432,10245,1,1
2,Payment,1731100641.263442,16018,4,1
2,Payment,1731100641.264990,14674,30,1
1,NewOrder,1731100641.265442,8170,5,1
3,OrderStatus,1731100641.266469,2412,21,1
1,NewOrder,1731100641.267431,8218,16,1
1,NewOrder,1731100641.268508,6920,22,1
4,Delivery,1731100641.269431,26249,19,1
2,Payment,1731100641.270436,12256,8,1
1,NewOrder,1731100641.271436,8482,12,1
2,Payment,1731100641.272434,9854,17,1
1,NewOrder,1731100641.273584,5987,14,1
1,NewOrder,1731100641.274436,5731,3,1
1,NewOrder,1731100641.275435,6559,22,1
1,NewOrder,1731100641.276432,5585,27,1
1,NewOrder,1731100641.277433,4535,9,1
2,Payment,1731100641.278429,6454,29,1
3,OrderStatus,1731100641.279497,1158,24,1
2,Payment,1731100641.280434,6694,7,1
1,NewOrder,1731100641.281439,3615,20,1
2,Payment,1731100641.282430,2280,2,1
2,Payment,1731100641.283430,9364,26,1
2,Payment,1731100641.284431,9314,6,1
1,NewOrder,1731100641.285431,7672,18,1
2,Payment,1731100641.286432,16469,15,1
5,StockLevel,1731100641.287488,2566,13,1
4,Delivery,1731100641.288431,33986,21,1
4,Delivery,1731100641.289463,8,1,1
2,Payment,1731100641.290467,1928,0,1
2,Payment,1731100641.291434,10914,5,1
2,Payment,1731100641.292432,9664,23,1
2,Payment,1731100641.293432,5001,25,1
2,Payment,1731100641.294430,12693,10,1
2,Payment,1731100641.295437,11999,16,1
1,NewOrder,1731100641.296433,10643,4,1
1,NewOrder,1731100641.297431,6231,14,1
2,Payment,1731100641.298437,3467,25,1
2,Payment,1731100641.299453,10166,12,1
1,NewOrder,1731100641.300428,6958,11,1
1,NewOrder,1731100641.301427,6657,3,1
1,NewOrder,1731100641.302429,6784,24,1
1,NewOrder,1731100641.303446,6233,9,1
1,NewOrder,1731100641.304431,4877,22,1
5,StockLevel,1731100641.305430,3157,27,1
2,Payment,1731100641.306431,8046,17,1
2,Payment,1731100641.307457,2001,8,1
1,NewOrder,1731100641.308435,4713,2,1
3,OrderStatus,1731100641.309432,4463,29,1
1,NewOrder,1731100641.310432,3608,20,1
1,NewOrder,1731100641.311538,4361,31,1
1,NewOrder,1731100641.312432,8274,7,1
2,Payment,1731100641.313435,7362,1,1
2,Payment,1731100641.314434,3497,13,1
2,Payment,1731100641.315437,7544,0,1
2,Payment,1731100641.316429,6371,26,1
5,StockLevel,1731100641.317429,1770,18,1
2,Payment,1731100641.318439,8312,6,1
1,NewOrder,1731100641.319428,6200,19,1
1,NewOrder,1731100641.320434,5655,28,1
2,Payment,1731100641.321433,4986,30,1
2,Payment,1731100641.322429,6482,21,1
1,NewOrder,1731100641.323431,2532,23,1
2,Payment,1731100641.324429,6430,5,1
1,NewOrder,1731100641.325428,3000,15,1
1,NewOrder,1731100641.326423,2894,30,1
1,NewOrder,1731100641.327432,6383,4,1
1,NewOrder,1731100641.328432,13968,15,1
2,Payment,1731100641.329428,4671,11,1
1,NewOrder,1731100641.330437,15554,16,1
1,NewOrder,1731100641.331433,16558,3,1
1,NewOrder,1731100641.332428,10387,27,1
1,NewOrder,1731100641.333436,18909,24,1
2,Payment,1731100641.334430,1802,22,1
2,Payment,1731100641.335503,6088,8,1
2,Payment,1731100641.336815,11326,12,1
3,OrderStatus,1731100641.337451,4394,9,1
1,NewOrder,1731100641.338435,11207,2,1
1,NewOrder,1731100641.339430,13943,29,1
2,Payment,1731100641.340433,8191,20,1
1,NewOrder,1731100641.341525,4334,17,1
2,Payment,1731100641.342434,13769,31,1
2,Payment,1731100641.343434,12202,13,1
1,NewOrder,1731100641.344429,9796,18,1
1,NewOrder,1731100641.345437,6565,7,1
1,NewOrder,1731100641.346437,7012,1,1
1,NewOrder,1731100641.347433,11720,25,1
2,Payment,1731100641.348453,4192,26,1
1,NewOrder,1731100641.349438,9176,0,1
2,Payment,1731100641.350431,9031,19,1
2,Payment,1731100641.351438,8172,23,1
1,NewOrder,1731100641.352436,8818,28,1
3,OrderStatus,1731100641.353442,2624,14,1
2,Payment,1731100641.354434,6602,6,1
2,Payment,1731100641.355433,5584,10,1
2,Payment,1731100641.356434,6429,21,1
2,Payment,1731100641.357432,5179,30,1
2,Payment,1731100641.358433,4410,5,1
2,Payment,1731100641.359428,1372,4,1
1,NewOrder,1731100641.360446,2470,11,1
1,NewOrder,1731100641.361429,2844,22,1
1,NewOrder,1731100641.362434,5116,8,1
5,StockLevel,1731100641.363436,2286,9,1
5,StockLevel,1731100641.364440,1625,15,1
1,NewOrder,1731100641.365433,5237,27,1
3,OrderStatus,1731100641.366427,1882,17,1
1,NewOrder,1731100641.367426,4643,16,1
2,Payment,1731100641.368442,1604,3,1
2,Payment,1731100641.369432,2248,12,1
1,NewOrder,1731100641.370429,3240,20,1
1,NewOrder,1731100641.371676,7774,2,1
2,Payment,1731100641.372433,2080,7,1
